seq,road_id,edges,road_no,partition
604,645,[np.float64(645.0)],43,3
605,646,[np.float64(646.0)],27,3
606,647,[np.float64(647.0)],43,3
607,648,"[np.float64(648.0), np.float64(648.0)]",70,3
608,649,[np.float64(649.0)],27,3
609,650,[np.float64(650.0)],43,3
610,651,[np.float64(651.0)],43,3
611,652,[np.float64(652.0)],43,3
612,654,[np.float64(654.0)],35,1
613,655,"[np.float64(655.0), np.float64(655.0)]",6,1
614,656,[np.float64(656.0)],11,1
615,657,[np.float64(657.0)],19,0
616,658,"[np.float64(658.0), np.float64(658.0)]",68,1
617,659,"[np.float64(659.0), np.float64(659.0)]",34,1
618,660,[np.float64(660.0)],47,0
619,661,[np.float64(661.0)],50,3
620,666,[np.float64(666.0)],3,1
621,667,[np.float64(667.0)],10,1
622,668,[np.float64(668.0)],10,1
623,669,[np.float64(669.0)],10,1
624,670,[np.float64(670.0)],9,1
625,709,[np.float64(709.0)],49,1
626,671,[np.float64(671.0)],11,1
627,673,"[np.float64(673.0), np.float64(673.0)]",15,2
628,674,[np.float64(674.0)],15,2
629,675,"[np.float64(675.0), np.float64(675.0)]",47,1
630,676,"[np.float64(676.0), np.float64(676.0)]",49,1
